"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","0","0","33","1","0.000000","0","0"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","0","0","66","1","0.000000","0","0"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","0","0","33","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","9","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","8","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","4","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","51","1","0.000000","0","0"
"/Game/StackOBot/FX/Windbands/M_WindWhispsRibbon.M_WindWhispsRibbon","0","0","72","1","0.000000","0","0"
"/Game/StackOBot/FX/JetpackThruster/M_JetpackThrusterEfect.M_JetpackThrusterEfect","0","0","72","1","0.000000","0","0"
"/Engine/EngineMaterials/BaseFlattenMaterial_VT.BaseFlattenMaterial_VT","0","0","25","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/M_Glass.M_Glass","0","0","28","1","0.000000","0","0"
"/Game/GameModes/FirstPerson/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","8","1","0.000000","0","0"
"/Engine/EngineSky/M_SimpleSkyDome.M_SimpleSkyDome","0","0","4","1","0.000000","0","0"
"/Niagara/DefaultAssets/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","0","0","8","1","0.000000","0","0"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","0","0","9","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","0","0","11","1","0.000000","0","0"
"/ControlRig/M_Manip.M_Manip","0","0","11","1","0.000000","0","0"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","0","69","2","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","0","0","6","1","0.000000","0","0"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","0","0","66","1","0.000000","0","0"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","0","0","44","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","0","0","26","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","0","0","71","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","0","0","40","1","0.000000","0","0"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","0","0","1058","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","0","17","1","0.000000","0","0"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","0","62","6","0.000000","0","9"
"/Game/StackOBot/Environment/Materials/M_HoloGrid.M_HoloGrid","0","0","18","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/MD_Grunge.MD_Grunge","0","0","15","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/M_GenericPlayerPickup_Ring.M_GenericPlayerPickup_Ring","0","0","18","1","0.000000","0","0"
"/Game/StackOBot/FX/Environment/M_Smoke.M_Smoke","0","0","36","1","0.000000","0","0"
"/Game/StackOBot/FX/Environment/M_SandWisp.M_SandWisp","0","0","24","1","0.000000","0","0"
"/Game/StackOBot/FX/Environment/M_Dusty.M_Dusty","0","0","36","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","0","6","1","0.000000","0","0"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","0","43","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/M_HoloGridFence.M_HoloGridFence","0","0","18","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/M_GratingTileable.M_GratingTileable","0","0","34","1","0.000000","0","0"
"/Engine/EngineSky/M_Sky_Panning_Clouds2.M_Sky_Panning_Clouds2","0","0","4","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/MD_Chevron.MD_Chevron","0","0","15","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","0","34","1","0.000000","0","0"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","0","34","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/M_Grid.M_Grid","0","0","30","3","0.000000","0","10"
"/Game/GameModes/ThirdPerson/Characters/Mannequin_UE4/Materials/M_MannequinUE4_Body.M_MannequinUE4_Body","0","0","68","2","0.000000","0","0"
"/Game/GameModes/FirstPerson/FPWeapon/Materials/M_FPGun.M_FPGun","0","0","34","1","0.000000","0","0"
"/Game/GameModes/FirstPerson/FirstPersonArms/Character/Materials/M_UE4Man_Body.M_UE4Man_Body","0","0","34","1","0.000000","0","0"
"/Game/StackOBot/FX/Desolve/M_AntBotDesolve.M_AntBotDesolve","0","0","48","1","0.000000","0","0"
"/Game/StackOBot/Environment/Landscape/Materials/M_Rock.M_Rock","0","0","10","1","0.000000","0","0"
"/Game/StackOBot/Characters/Bot/Materials/M_BotBase.M_BotBase","0","0","34","1","0.000000","0","0"
"/Game/StackOBot/Environment/Foilage/Materials/M_TreeBaseNOWPO.M_TreeBaseNOWPO","0","0","68","2","0.000000","0","0"
"/Game/StackOBot/Environment/Foilage/Materials/M_TreeBase.M_TreeBase","0","0","136","4","0.000000","0","0"
"/Game/GameModes/ThirdPerson/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","0","36","3","0.000000","0","0"
"/Game/StackOBot/Environment/Foilage/Materials/M_Grass.M_Grass","0","0","34","1","0.000000","0","0"
"/Game/StackOBot/Environment/Materials/M_TileMaster.M_TileMaster","0","0","112","8","0.000000","0","0"
"/Game/StackOBot/Characters/Bot/Materials/M_BotFace.M_BotFace","0","0","34","1","0.000000","0","0"
